ApplicationID,DeptName,Program,DateOfApplication,Year,Glyphosate,Tier1,QtyAppliedUOM,QtyApplied,Gallons,Location,Address,Latitude,Longitude,NoSprayings,PF
19538,Parks and Recreation,Restoration,07/22/2013,2013,N,N,Fl. Oz,6,0.046875,Magnuson Park,7400 Sand Point Way,47.682338,-122.25677,0,0
19539,Parks and Recreation,Restoration,07/15/2013,2013,N,N,Fl. Oz,0.75,0.005859375,North Beach Park,24th Ave NW / NW 90th St,47.694088,-122.38758,0,0
19540,Parks and Recreation,Restoration,07/08/2013,2013,N,N,Fl. Oz,1.32,0.0103125,W Duwamish Greenbelt,W Marginal Wy SW,47.537918,-122.35043,0,0
19541,Parks and Recreation,Restoration,07/09/2013,2013,N,N,Fl. Oz,3,0.0234375,Thornton Creek Parks,NE 92nd St / 45th Ave NE,47.707034,-122.307629,0,0
19542,Parks and Recreation,Restoration,07/09/2013,2013,N,N,Gal(s),25,25,Thornton Creek Parks,NE 92nd St / 45th Ave NE,47.707034,-122.307629,0,0
19543,Parks and Recreation,Restoration,07/09/2013,2013,N,N,Fl. Oz,4,0.03125,Thornton Creek Parks,NE 92nd St / 45th Ave NE,47.707034,-122.307629,0,0
19544,Parks and Recreation,Restoration,08/13/2013,2013,N,N,Fl. Oz,2.25,0.017578125,NE Queen Anne Greenbelt,,47.671728,-122.322634,0,0
19545,Parks and Recreation,Restoration,08/12/2013,2013,N,N,Fl. Oz,2.1,0.01640625,College Street Ravine,51st Ave SW / SW College St,47.583474,-122.395161,0,0
19550,Parks and Recreation,Developed Park,12/11/2013,2013,N,N,Gal(s),3,3,Wallingford Playfield,Wallingford Ave N at N 34th St,47.65854443,-122.3374437,0,0
19551,Parks and Recreation,Greenhouses,01/26/2013,2013,N,Y,Gal(s),2,2,Jefferson Greenhouse,,47.567097,-122.312213,0,0
19552,Parks and Recreation,Greenhouses,01/28/2013,2013,N,Y,Gal(s),1,1,Jefferson Greenhouse,,47.567097,-122.312213,0,0
19553,Parks and Recreation,Developed Park,04/22/2013,2013,Y,N,Gal(s),3,3,Green Lake Park,5701 West Green Lake Way N,47.681711,-122.331029,0,0
19554,Parks and Recreation,Greenhouses,03/22/2013,2013,N,Y,Gal(s),5,5,Jefferson Greenhouse,,47.567097,-122.312213,0,0
19555,Parks and Recreation,Developed Park,04/23/2013,2013,Y,N,Gal(s),20,20,Woodland Park Central,Aurora Ave N / N 59th St,47.668907,-122.344218,0,0
19556,Parks and Recreation,Greenhouses,03/27/2013,2013,N,N,Gal(s),5,5,Jefferson Greenhouse,,47.567097,-122.312213,0,0
19557,Parks and Recreation,Greenhouses,05/01/2013,2013,N,Y,Gal(s),8,8,Jefferson Greenhouse,,47.567097,-122.312213,0,0
19558,Parks and Recreation,Greenhouses,05/03/2013,2013,N,N,Gal(s),10,10,Jefferson Greenhouse,,47.567097,-122.312213,0,0
19559,Parks and Recreation,Greenhouses,05/10/2013,2013,N,N,Gal(s),2,2,Jefferson Greenhouse,,47.567097,-122.312213,0,0
19560,Parks and Recreation,Greenhouses,05/10/2013,2013,N,N,Gal(s),3,3,Jefferson Greenhouse,,47.567097,-122.312213,0,0
19561,Parks and Recreation,Greenhouses,05/17/2013,2013,N,Y,Gal(s),4,4,Jefferson Greenhouse,,47.567097,-122.312213,0,0
19562,Parks and Recreation,Greenhouses,05/20/2013,2013,N,Y,Gal(s),3,3,Jefferson Greenhouse,,47.567097,-122.312213,0,0
19563,Parks and Recreation,Greenhouses,05/27/2013,2013,N,Y,Gal(s),5,5,Jefferson Greenhouse,,47.567097,-122.312213,0,0
19564,Parks and Recreation,Greenhouses,05/29/2013,2013,N,N,Gal(s),4,4,Jefferson Greenhouse,,47.567097,-122.312213,0,0
19565,Parks and Recreation,Greenhouses,06/07/2013,2013,N,N,Gal(s),4,4,Jefferson Greenhouse,,47.567097,-122.312213,0,0
19566,Parks and Recreation,Greenhouses,06/14/2013,2013,N,Y,Gal(s),3,3,Jefferson Greenhouse,,47.567097,-122.312213,0,0
19567,Parks and Recreation,Greenhouses,07/05/2013,2013,N,N,Gal(s),10,10,Jefferson Greenhouse,,47.567097,-122.312213,0,0
19568,Parks and Recreation,Greenhouses,07/12/2013,2013,N,Y,Gal(s),8,8,Jefferson Greenhouse,,47.567097,-122.312213,0,0
19569,Parks and Recreation,Greenhouses,09/06/2013,2013,N,Y,Gal(s),5,5,Jefferson Greenhouse,,47.567097,-122.312213,0,0
19570,Parks and Recreation,Greenhouses,09/13/2013,2013,N,Y,Gal(s),4,4,Jefferson Greenhouse,,47.567097,-122.312213,0,0
19571,Parks and Recreation,Greenhouses,09/13/2013,2013,N,Y,Gal(s),4,4,Jefferson Greenhouse,,47.567097,-122.312213,0,0
19572,Parks and Recreation,Greenhouses,09/17/2013,2013,N,Y,Gal(s),3,3,Jefferson Greenhouse,,47.567097,-122.312213,0,0
19573,Parks and Recreation,Greenhouses,09/18/2013,2013,N,N,Gal(s),5,5,Jefferson Greenhouse,,47.567097,-122.312213,0,0
19574,Parks and Recreation,Greenhouses,10/01/2013,2013,N,Y,Gal(s),4,4,Jefferson Greenhouse,,47.567097,-122.312213,0,0
19575,Parks and Recreation,Greenhouses,10/19/2013,2013,N,N,Gal(s),2,2,Jefferson Greenhouse,,47.567097,-122.312213,0,0
19576,Parks and Recreation,Restoration,10/10/2013,2013,N,N,Gal(s),0.03,0.03,Sturtevant Ravine,adjacent to Kubota Gardens,47.51783,-122.268561,0,0
